FDY59,8.195,Low Fat,0.031377308,Baking Goods,93.6462,OUT013,1987,High,Tier 3,Supermarket,925.462
FDB12,11.15,Regular,0.105287746,Baking Goods,103.2648,OUT035,2004,Small,Tier 2,Supermarket,2388.8904
FDJ60,19.35,Regular,0.062882112,Baking Goods,164.1184,OUT017,2007,Medium,Tier 2,Supermarket,2807.0128
FDW35,10.6,Low Fat,0.011079996,Breads,42.2454,OUT013,1987,High,Tier 3,Supermarket,474.6693144
FDQ23,6.55,Low Fat,0.024525828,Breads,104.0332,OUT046,1997,Small,Tier 1,Supermarket,715.488333
FDR23,15.85,Low Fat,0.081953387,Breads,176.237,OUT045,2002,Small,Tier 2,Supermarket,2646.555
FDL13,13.85,Regular,0.094265737,Breakfast,233.93,OUT010,1998,Medium,Tier 3,Grocery Store,233.03
FDA49,"",Low Fat,0.113669629,Canned,89.0198,OUT019,1985,Small,Tier 1,Grocery Store,174.4396
FDY01,11.8,Regular,0.171246685,Canned,116.5834,OUT017,2007,Medium,Tier 2,Supermarket,1499.495691
FDE50,19.7,Regular,0.016271661,Canned,188.1556,OUT018,2009,Medium,Tier 3,Supermarket,4040.265199
FDR25,17.0,Regular,0.140311123,Canned,265.6884,OUT017,2007,Medium,Tier 2,Supermarket,2649.884
FDI27,8.71,Regular,0.04605781,Dairy,43.8744,OUT049,1999,Medium,Tier 1,Supermarket,633.8416
FDR02,"",Low Fat,0.021958822,Dairy,109.2886,OUT027,1985,Medium,Tier 3,Supermarket,4976.979184
FDW02,4.805,Regular,0.0,Dairy,123.9704,OUT045,2002,Small,Tier 2,Supermarket,2253.0672
FDS02,10.195,Regular,0.145839766,Dairy,194.9794,OUT035,2004,Small,Tier 2,Supermarket,2166.718331
FDY26,20.6,Regular,0.030485136,Dairy,210.7244,OUT013,1987,High,Tier 3,Supermarket,4644.787225
FDI15,13.8,Low Fat,0.23659521,Dairy,265.0884,OUT010,1998,Medium,Tier 3,Grocery Store,4024.041912
FDG40,13.65,Low Fat,0.066657791,Frozen Foods,32.6558,OUT010,1998,Medium,Tier 3,Grocery Store,67.9116
FDQ04,6.4,Low Fat,0.084683076,Frozen Foods,42.9796,OUT013,1987,High,Tier 3,Supermarket,302.576384
FDJ16,9.195,Low Fat,0.114863923,Frozen Foods,59.0246,OUT035,2004,Small,Tier 2,Supermarket,1853.5872
